HEADER,fixture,sample,sourceNodes,targetNodes,rootMicroticks,persistentMicroticks,rootMutations,persistentMutationRow,address
FIXTURE,initial_empty,samples=120,rootCap=1000000,persistentCap=100000,termCap=1000000
ROW,initial_empty,0,65,73,1130,50,1,clockZero_pc0_phase0_emptyfalse,L
ROW,initial_empty,1,73,85,1120,103,1,clockPositive_pc0_phase0_emptyfalse,L
ROW,initial_empty,2,85,97,1875,49,1,clockZero_pc0_phase0_emptyfalse,LR
ROW,initial_empty,3,97,141,1861,84,1,clockLaunch,
ROW,initial_empty,4,141,185,1133,26,1,fuelPositive_pc1_phase0_emptyfalse,L
ROW,initial_empty,5,185,265,1600,2,1,fuelPositive_pc3_phase0_emptyfalse,
ROW,initial_empty,6,265,309,4232,58,1,fuelZero_pc1_phase0_emptyfalse,RL
ROW,initial_empty,7,309,357,6219,3,1,fuelZero_pc4_phase0_emptyfalse,RL
ROW,initial_empty,8,357,437,7815,2,1,fuelZero_pc6_phase0_emptyfalse,R
ROW,initial_empty,9,437,517,8318,2,1,fuelZero_pc8_phase0_emptyfalse,RL
ROW,initial_empty,10,517,693,7598,2,1,fuelZero_pc10_phase0_emptyfalse,R
ROW,initial_empty,11,693,1257,10141,396,1,emptyResponse_pc0_phase0_emptytrue,
ROW,initial_empty,12,1257,1821,411,2,1,emptyResponse_pc2_phase0_emptytrue,L
ROW,initial_empty,13,1821,2385,609,4,1,emptyResponse_pc6_phase0_emptytrue,LL
ROW,initial_empty,14,2385,2949,2615,2,1,emptyResponse_pc8_phase0_emptytrue,LLR
ROW,initial_empty,15,2949,3513,2831,2,1,emptyResponse_pc10_phase0_emptytrue,LLRR
ROW,initial_empty,16,3513,4077,2965,2,1,emptyResponse_pc12_phase0_emptytrue,LLRRL
ROW,initial_empty,17,4077,4641,2733,12,1,markEmpty_pc3_phase0_emptytrue,LLL
ROW,initial_empty,18,4641,4657,1800,64,1,clockPositive_pc0_phase0_emptyfalse,RLL
ROW,initial_empty,19,4657,4673,2578,22,1,clockPositive_pc0_phase0_emptyfalse,RLLR
ROW,initial_empty,20,4673,4689,2625,49,1,clockZero_pc0_phase0_emptyfalse,RLLRR
ROW,initial_empty,21,4689,4733,2601,101,1,clockLaunch,RL
ROW,initial_empty,22,4733,4777,1813,26,1,fuelPositive_pc1_phase0_emptyfalse,RLL
ROW,initial_empty,23,4777,4885,2276,2,1,fuelPositive_pc3_phase0_emptyfalse,RL
ROW,initial_empty,24,4885,4929,5298,28,1,fuelPositive_pc1_phase0_emptyfalse,RLRL
ROW,initial_empty,25,4929,5037,6629,2,1,fuelPositive_pc3_phase0_emptyfalse,RLR
ROW,initial_empty,26,5037,5081,5900,58,1,fuelZero_pc1_phase0_emptyfalse,RLRRL
ROW,initial_empty,27,5081,5129,7887,3,1,fuelZero_pc4_phase0_emptyfalse,RLRRL
ROW,initial_empty,28,5129,5237,9516,2,1,fuelZero_pc6_phase0_emptyfalse,RLRR
ROW,initial_empty,29,5237,5345,9998,2,1,fuelZero_pc8_phase0_emptyfalse,RLRRL
ROW,initial_empty,30,5345,5549,9299,2,1,fuelZero_pc10_phase0_emptyfalse,RLRR
ROW,initial_empty,31,5549,6225,12111,396,1,emptyResponse_pc0_phase0_emptytrue,RLR
ROW,initial_empty,32,6225,6901,1137,2,1,emptyResponse_pc2_phase0_emptytrue,RLRL
ROW,initial_empty,33,6901,7577,1251,4,1,emptyResponse_pc6_phase0_emptytrue,RLRLL
ROW,initial_empty,34,7577,8253,4645,2,1,emptyResponse_pc8_phase0_emptytrue,RLRLLR
ROW,initial_empty,35,8253,8929,4861,2,1,emptyResponse_pc10_phase0_emptytrue,RLRLLRR
ROW,initial_empty,36,8929,9605,4995,2,1,emptyResponse_pc12_phase0_emptytrue,RLRLLRRL
ROW,initial_empty,37,9605,10281,4472,12,1,markEmpty_pc3_phase0_emptytrue,RLRLLL
ROW,initial_empty,38,10281,15845,6481,55,1,emptyResponse_pc0_phase0_emptytrue,RL
ROW,initial_empty,39,15845,21409,1085,2,1,emptyResponse_pc2_phase0_emptytrue,RLL
ROW,initial_empty,40,21409,26973,1279,4,1,emptyResponse_pc6_phase0_emptytrue,RLLL
ROW,initial_empty,41,26973,32537,2576,2,1,emptyResponse_pc8_phase0_emptytrue,RLLLR
ROW,initial_empty,42,32537,38101,2792,2,1,emptyResponse_pc10_phase0_emptytrue,RLLLRR
ROW,initial_empty,43,38101,43665,2926,2,1,emptyResponse_pc12_phase0_emptytrue,RLLLRRL
ROW,initial_empty,44,43665,49229,3656,12,1,markEmpty_pc3_phase0_emptytrue,RLLLL
ROW,initial_empty,45,49229,49273,3081,28,1,handoff_emptytrue,RLRL
ROW,initial_empty,46,49273,49317,2327,26,1,fuelPositive_pc1_phase0_emptyfalse,RLRLL
ROW,initial_empty,47,49317,49405,2757,2,1,fuelPositive_pc3_phase0_emptyfalse,RLRL
ROW,initial_empty,48,49405,49449,5812,28,1,fuelPositive_pc1_phase0_emptyfalse,RLRLRL
ROW,initial_empty,49,49449,49537,7110,2,1,fuelPositive_pc3_phase0_emptyfalse,RLRLR
ROW,initial_empty,50,49537,49581,6414,58,1,fuelZero_pc1_phase0_emptyfalse,RLRLRRL
ROW,initial_empty,51,49581,49629,8401,3,1,fuelZero_pc4_phase0_emptyfalse,RLRLRRL
ROW,initial_empty,52,49629,49717,9997,2,1,fuelZero_pc6_phase0_emptyfalse,RLRLRR
ROW,initial_empty,53,49717,49805,10500,2,1,fuelZero_pc8_phase0_emptyfalse,RLRLRRL
ROW,initial_empty,54,49805,49989,9780,2,1,fuelZero_pc10_phase0_emptyfalse,RLRLRR
ROW,initial_empty,55,49989,50585,12522,396,1,emptyResponse_pc0_phase0_emptytrue,RLRLR
ROW,initial_empty,56,50585,51181,1651,2,1,emptyResponse_pc2_phase0_emptytrue,RLRLRL
ROW,initial_empty,57,51181,51777,1765,4,1,emptyResponse_pc6_phase0_emptytrue,RLRLRLL
ROW,initial_empty,58,51777,52373,5119,2,1,emptyResponse_pc8_phase0_emptytrue,RLRLRLLR
ROW,initial_empty,59,52373,52969,5335,2,1,emptyResponse_pc10_phase0_emptytrue,RLRLRLLRR
ROW,initial_empty,60,52969,53565,5469,2,1,emptyResponse_pc12_phase0_emptytrue,RLRLRLLRRL
ROW,initial_empty,61,53565,54161,4611,12,1,markEmpty_pc3_phase0_emptytrue,RLRLRLLL
ROW,initial_empty,62,54161,59065,6539,55,1,emptyResponse_pc0_phase0_emptytrue,RLRL
ROW,initial_empty,63,59065,63969,1599,2,1,emptyResponse_pc2_phase0_emptytrue,RLRLL
ROW,initial_empty,64,63969,68873,1793,4,1,emptyResponse_pc6_phase0_emptytrue,RLRLLL
ROW,initial_empty,65,68873,73777,3090,2,1,emptyResponse_pc8_phase0_emptytrue,RLRLLLR
ROW,initial_empty,66,73777,78681,3306,2,1,emptyResponse_pc10_phase0_emptytrue,RLRLLLRR
ROW,initial_empty,67,78681,83585,3440,2,1,emptyResponse_pc12_phase0_emptytrue,RLRLLLRRL
ROW,initial_empty,68,83585,88489,3795,12,1,markEmpty_pc3_phase0_emptytrue,RLRLLLL
ROW,initial_empty,69,88489,88509,2828,64,1,clockPositive_pc0_phase0_emptyfalse,RLRLRLL
ROW,initial_empty,70,88509,88529,3666,22,1,clockPositive_pc0_phase0_emptyfalse,RLRLRLLR
ROW,initial_empty,71,88529,88549,3713,22,1,clockPositive_pc0_phase0_emptyfalse,RLRLRLLRR
ROW,initial_empty,72,88549,88569,3754,49,1,clockZero_pc0_phase0_emptyfalse,RLRLRLLRRR
ROW,initial_empty,73,88569,88613,3717,118,1,clockLaunch,RLRLRL
ROW,initial_empty,74,88613,88657,2841,26,1,fuelPositive_pc1_phase0_emptyfalse,RLRLRLL
ROW,initial_empty,75,88657,88801,3304,2,1,fuelPositive_pc3_phase0_emptyfalse,RLRLRL
ROW,initial_empty,76,88801,88845,6326,28,1,fuelPositive_pc1_phase0_emptyfalse,RLRLRLRL
ROW,initial_empty,77,88845,88989,7654,2,1,fuelPositive_pc3_phase0_emptyfalse,RLRLRLR
ROW,initial_empty,78,88989,89033,7348,28,1,fuelPositive_pc1_phase0_emptyfalse,RLRLRLRRL
ROW,initial_empty,79,89033,89177,8679,2,1,fuelPositive_pc3_phase0_emptyfalse,RLRLRLRR
ROW,initial_empty,80,89177,89221,7950,58,1,fuelZero_pc1_phase0_emptyfalse,RLRLRLRRRL
ROW,initial_empty,81,89221,89269,9937,3,1,fuelZero_pc4_phase0_emptyfalse,RLRLRLRRRL
ROW,initial_empty,82,89269,89413,11566,2,1,fuelZero_pc6_phase0_emptyfalse,RLRLRLRRR
ROW,initial_empty,83,89413,89557,12048,2,1,fuelZero_pc8_phase0_emptyfalse,RLRLRLRRRL
ROW,initial_empty,84,89557,89797,11349,2,1,fuelZero_pc10_phase0_emptyfalse,RLRLRLRRR
ROW,initial_empty,85,89797,90617,14089,396,1,emptyResponse_pc0_phase0_emptytrue,RLRLRLRR
ROW,initial_empty,86,90617,91437,2263,2,1,emptyResponse_pc2_phase0_emptytrue,RLRLRLRRL
ROW,initial_empty,87,91437,92257,2377,4,1,emptyResponse_pc6_phase0_emptytrue,RLRLRLRRLL
ROW,initial_empty,88,92257,93077,6677,2,1,emptyResponse_pc8_phase0_emptytrue,RLRLRLRRLLR
ROW,initial_empty,89,93077,93897,6893,2,1,emptyResponse_pc10_phase0_emptytrue,RLRLRLRRLLRR
ROW,initial_empty,90,93897,94717,7027,2,1,emptyResponse_pc12_phase0_emptytrue,RLRLRLRRLLRRL
ROW,initial_empty,91,94717,95537,5109,12,1,markEmpty_pc3_phase0_emptytrue,RLRLRLRRLLL
ROW,initial_empty,92,95537,102289,7871,55,1,emptyResponse_pc0_phase0_emptytrue,RLRLRLR
ROW,initial_empty,93,102289,109041,2165,2,1,emptyResponse_pc2_phase0_emptytrue,RLRLRLRL
ROW,initial_empty,94,109041,115793,2279,4,1,emptyResponse_pc6_phase0_emptytrue,RLRLRLRLL
ROW,initial_empty,95,115793,122545,4930,2,1,emptyResponse_pc8_phase0_emptytrue,RLRLRLRLLR
ROW,initial_empty,96,122545,129297,5146,2,1,emptyResponse_pc10_phase0_emptytrue,RLRLRLRLLRR
ROW,initial_empty,97,129297,136049,5280,2,1,emptyResponse_pc12_phase0_emptytrue,RLRLRLRLLRRL
ROW,initial_empty,98,136049,142801,4992,12,1,markEmpty_pc3_phase0_emptytrue,RLRLRLRLLL
ROW,initial_empty,99,142801,197009,7197,55,1,emptyResponse_pc0_phase0_emptytrue,RLRLRL
ROW,initial_empty,100,197009,251217,2113,2,1,emptyResponse_pc2_phase0_emptytrue,RLRLRLL
ROW,initial_empty,101,251217,305425,2307,4,1,emptyResponse_pc6_phase0_emptytrue,RLRLRLLL
ROW,initial_empty,102,305425,359633,3604,2,1,emptyResponse_pc8_phase0_emptytrue,RLRLRLLLR
ROW,initial_empty,103,359633,413841,3820,2,1,emptyResponse_pc10_phase0_emptytrue,RLRLRLLLRR
ROW,initial_empty,104,413841,468049,3954,2,1,emptyResponse_pc12_phase0_emptytrue,RLRLRLLLRRL
ROW,initial_empty,105,468049,522257,4718,12,1,markEmpty_pc3_phase0_emptytrue,RLRLRLLLL
ROW,initial_empty,106,522257,522301,4203,28,1,handoff_emptytrue,RLRLRLRL
ROW,initial_empty,107,522301,522345,3355,26,1,fuelPositive_pc1_phase0_emptyfalse,RLRLRLRLL
ROW,initial_empty,108,522345,522465,3818,2,1,fuelPositive_pc3_phase0_emptyfalse,RLRLRLRL
ROW,initial_empty,109,522465,522509,6840,28,1,fuelPositive_pc1_phase0_emptyfalse,RLRLRLRLRL
ROW,initial_empty,110,522509,522629,8168,2,1,fuelPositive_pc3_phase0_emptyfalse,RLRLRLRLR
ROW,initial_empty,111,522629,522673,7862,28,1,fuelPositive_pc1_phase0_emptyfalse,RLRLRLRLRRL
ROW,initial_empty,112,522673,522793,9193,2,1,fuelPositive_pc3_phase0_emptyfalse,RLRLRLRLRR
ROW,initial_empty,113,522793,522837,8464,58,1,fuelZero_pc1_phase0_emptyfalse,RLRLRLRLRRRL
ROW,initial_empty,114,522837,522885,10451,3,1,fuelZero_pc4_phase0_emptyfalse,RLRLRLRLRRRL
ROW,initial_empty,115,522885,523005,12080,2,1,fuelZero_pc6_phase0_emptyfalse,RLRLRLRLRRR
ROW,initial_empty,116,523005,523125,12562,2,1,fuelZero_pc8_phase0_emptyfalse,RLRLRLRLRRRL
ROW,initial_empty,117,523125,523341,11863,2,1,fuelZero_pc10_phase0_emptyfalse,RLRLRLRLRRR
ROW,initial_empty,118,523341,524065,14675,396,1,emptyResponse_pc0_phase0_emptytrue,RLRLRLRLRR
ROW,initial_empty,119,524065,524789,2777,2,1,emptyResponse_pc2_phase0_emptytrue,RLRLRLRLRRL
PASS,initial_empty,samples=120,rootTicks=641708,persistentTicks=3902,maxRootTicks=14675,maxTermSize=524789
FIXTURE,single_false,samples=120,rootCap=1000000,persistentCap=100000,termCap=1000000
ROW,single_false,0,81,89,1130,50,1,clockZero_pc0_phase0_emptyfalse,L
ROW,single_false,1,89,101,1120,103,1,clockPositive_pc0_phase0_emptyfalse,L
ROW,single_false,2,101,113,1875,49,1,clockZero_pc0_phase0_emptyfalse,LR
ROW,single_false,3,113,173,1861,84,1,clockLaunch,
ROW,single_false,4,173,233,1133,26,1,fuelPositive_pc1_phase0_emptyfalse,L
ROW,single_false,5,233,329,1600,2,1,fuelPositive_pc3_phase0_emptyfalse,
ROW,single_false,6,329,389,4232,58,1,fuelZero_pc1_phase0_emptyfalse,RL
ROW,single_false,7,389,453,6219,3,1,fuelZero_pc4_phase0_emptyfalse,RL
ROW,single_false,8,453,549,7815,2,1,fuelZero_pc6_phase0_emptyfalse,R
ROW,single_false,9,549,645,8318,2,1,fuelZero_pc8_phase0_emptyfalse,RL
ROW,single_false,10,645,869,7598,2,1,fuelZero_pc10_phase0_emptyfalse,R
ROW,single_false,11,869,869,10284,232,1,C4_bitfalse_phase0,RLRLLRRR
ROW,single_false,12,869,1577,9667,286,1,normalResponse_pc0_phase0_emptyfalse,
ROW,single_false,13,1577,2285,411,2,1,normalResponse_pc2_phase0_emptyfalse,L
ROW,single_false,14,2285,2993,609,4,1,normalResponse_pc6_phase0_emptyfalse,LL
ROW,single_false,15,2993,3701,2703,2,1,normalResponse_pc8_phase0_emptyfalse,LLR
