HEADER,fixture,index,sourceNodes,syntacticRedexes,haltTag,microticks,mutations,address
FIXTURE,period1_empty,terms=197,maxNodes=13,microtickCap=1000000
ROW,period1_empty,0,1,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,167,0,
ROW,period1_empty,1,3,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,441,0,
ROW,period1_empty,2,5,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,447,0,
ROW,period1_empty,3,5,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,718,0,
ROW,period1_empty,4,7,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,453,0,
ROW,period1_empty,5,7,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,455,0,
ROW,period1_empty,6,7,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,724,0,
ROW,period1_empty,7,7,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,727,0,
ROW,period1_empty,8,7,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1160,1,
ROW,period1_empty,9,9,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,459,0,
ROW,period1_empty,10,9,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,461,0,
ROW,period1_empty,11,9,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,461,0,
ROW,period1_empty,12,9,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,461,0,
ROW,period1_empty,13,9,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,446,1,R
ROW,period1_empty,14,9,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,730,0,
ROW,period1_empty,15,9,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,732,0,
ROW,period1_empty,16,9,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,733,0,
ROW,period1_empty,17,9,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1187,1,
ROW,period1_empty,18,9,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,733,0,
ROW,period1_empty,19,9,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,738,0,
ROW,period1_empty,20,9,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1166,1,
ROW,period1_empty,21,9,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1313,1,
ROW,period1_empty,22,9,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,1105,1,L
ROW,period1_empty,23,11,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,465,0,
ROW,period1_empty,24,11,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,467,0,
ROW,period1_empty,25,11,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,467,0,
ROW,period1_empty,26,11,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,467,0,
ROW,period1_empty,27,11,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,451,1,RR
ROW,period1_empty,28,11,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,467,0,
ROW,period1_empty,29,11,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,469,0,
ROW,period1_empty,30,11,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,467,0,
ROW,period1_empty,31,11,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,446,1,R
ROW,period1_empty,32,11,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,467,0,
ROW,period1_empty,33,11,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,469,0,
ROW,period1_empty,34,11,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,446,1,R
ROW,period1_empty,35,11,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,446,1,R
ROW,period1_empty,36,11,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,453,1,RL
ROW,period1_empty,37,11,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,736,0,
ROW,period1_empty,38,11,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,738,0,
ROW,period1_empty,39,11,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,738,0,
ROW,period1_empty,40,11,0,PureSFormal.Research.RootResetSelectorContract.HaltKind.nf,738,0,
ROW,period1_empty,41,11,1,PureSFormal.Research.RootResetSelectorContract.HaltKind.redex,723,1,R
